iteration,prev_error,rel_improvement,no_improvement_counter,dtrans_norm,drot_abs,stop_reason,max_correspondence_distance,min_squared_error,n_points_true_data,n_points_new_data,scan_match_pose,true_pose,predicted_pose,timestamp
2,3.6894138709108253,0.9999999996310587,0,0.007987993634875918,[0.0009776],Transformation magnitude below threshold,0.8,15.0,800,107,"(0.02371096472232373, -0.010924295752590872, 0.0036903757941117383)","(0.0022550864701399724, -0.00019721914693259532, 0.004906762157475746)","(0.04982378412527767, 6.789283662120429e-05, 0.002725316665203259)",9.35
3,3.2630036000036595,0.34593993522177907,0,0.005179001346848078,[0.00133661],Transformation magnitude below threshold,0.8,15.0,800,107,"(0.13903285123727582, -0.055798797618552, 0.002935471443917703)","(0.12667210149225497, 0.0003413392721716458, 0.0049771086544672626)","(0.16455905761494105, -0.0112814334256451, -0.008761611056604224)",18.34
3,3.1710162877621135,0.17685781358021496,0,0.004863311229506865,[0.00041548],Transformation magnitude below threshold,0.8,15.0,800,108,"(0.2694112813384971, -0.08606825754576536, 0.0032783139210868103)","(0.255684511294045, 0.0009877881986359307, 0.005100496655736316)","(0.27744523990378517, -0.055900724914151406, -0.004408277139395178)",18.83
1,10000000000,,,0.0033098273792428676,[0.00117309],Transformation magnitude below threshold,0.8,15.0,800,109,"(0.4009879992656213, -0.08418436495058777, 0.003284531677991716)","(0.3885376715780841, 0.0016689247160269185, 0.005227129763864551)","(0.3977560750070336, -0.08572238325570967, 0.0021114403944144655)",19.33
2,3.233923117406147,0.9999999996766077,0,0.008160287984370573,[0.00023134],Transformation magnitude below threshold,0.8,15.0,800,110,"(0.5411176297076375, -0.07691106599672191, 0.0037753561321364243)","(0.5213905543911183, 0.002366977135850333, 0.005354131920957896)","(0.5298076527685596, -0.08381841124459848, 0.0023970970422477755)",19.83
3,5.453879250596021,0.4368406814659024,0,0.006157769488105413,[0.0028448],Transformation magnitude below threshold,0.8,15.0,800,112,"(0.669329355245437, -0.14835981096885129, 0.039485974348353645)","(0.6588999003487809, 0.003604899475257503, 0.06170949586795217)","(0.6842254554373859, -0.07586955091027522, 0.010780056098039115)",20.33
4,6.781123293858954,0.14674704437200298,0,0.00382426499760749,[0.0034159],Transformation magnitude below threshold,0.8,15.0,800,125,"(0.7997803981518625, -0.10633207410375521, 0.30258787949662375)","(0.7901010563436783, 0.027286656534664888, 0.32634736689799004)","(0.7992052747649676, -0.12763041207604967, 0.2770625224197061)",20.84
4,4.043148515302005,0.23765691945428083,0,0.00874718626841272,[0.00122601],Transformation magnitude below threshold,0.8,15.0,800,132,"(0.9225012826562388, 0.0479103021656653, 0.43035269843022766)","(0.9098386706464856, 0.07824844475569186, 0.4289600428834213)","(0.9172976495204949, -0.05981774576720453, 0.45118774178844845)",21.35
2,3.6628056383316876,0.9999999996337194,0,0.002377557855141637,[0.00067595],Transformation magnitude below threshold,0.8,15.0,800,132,"(1.0417430896027542, 0.1151518956764742, 0.4323668105400378)","(1.0340739848443588, 0.13515013096617587, 0.4291506605389531)","(1.0544593585630158, 0.1089020757998918, 0.435562688007904)",21.83
3,5.138172716584264,0.34356033466682134,0,0.0034605419163575173,[0.00308626],Transformation magnitude below threshold,0.8,15.0,800,133,"(1.1594215855124101, 0.20270780216896395, 0.4331783866546732)","(1.1548098492069732, 0.19048238275235016, 0.4293331333299544)","(1.1589378917244297, 0.1706796118941311, 0.45258218115657467)",22.33
2,3.8898576980391617,0.9999999996110142,0,0.003944695848614644,[0.00147751],Transformation magnitude below threshold,0.8,15.0,800,133,"(1.2872474729848513, 0.24455190971884355, 0.4308159083202142)","(1.2755356795803439, 0.24583675357546594, 0.4295184576794636)","(1.2760621393090945, 0.2566784440594245, 0.4335663770310978)",22.82
3,3.312498626503038,0.1769166964085102,0,0.007330838933234701,[0.00099789],Transformation magnitude below threshold,0.8,15.0,800,132,"(1.4097361374703394, 0.27723271752399686, 0.4266848084371817)","(1.3962516452529719, 0.3012133810734823, 0.4297044796098594)","(1.417017977367261, 0.3035450162341114, 0.42252227352922134)",23.34
3,4.409268377700033,0.25645701062013126,0,0.006325107563203595,[0.00217973],Transformation magnitude below threshold,0.8,15.0,800,129,"(1.5255369490027806, 0.30801893384873696, 0.5662880933007063)","(1.5126289662761563, 0.3600705734556104, 0.5866798814917448)","(1.5189999615265959, 0.33545000720673007, 0.5524209412237386)",23.83
2,4.160526666849012,0.9999999995839474,0,0.006403546005570977,[0.00205792],Transformation magnitude below threshold,0.8,15.0,800,121,"(1.6276928571631637, 0.41453969199150925, 0.8031037837314562)","(1.6152750346846143, 0.4468446109788061, 0.8001552813205416)","(1.6335406161852848, 0.3969063528721347, 0.8109340176870043)",24.34
1,10000000000,,,0.004449670435838329,[0.00154667],Transformation magnitude below threshold,0.8,15.0,800,121,"(1.7254294010635687, 0.5182451592004744, 0.7992600093887948)","(1.7107558184788412, 0.5453624627138168, 0.8002207678323187)","(1.7285222750471667, 0.5187645176733982, 0.8008066836409915)",24.81
3,4.036672540075801,0.23652684482686223,0,0.0062456857014157735,[0.00188493],Transformation magnitude below threshold,0.8,15.0,800,123,"(1.8163472452384621, 0.5824321556316859, 0.79117026348186)","(1.8005747552523865, 0.6380262003081734, 0.8002615080584635)","(1.8205467837421565, 0.6139510416250177, 0.7777043061981526)",25.33
1,10000000000,,,0.002183134145471478,[0.00051214],Transformation magnitude below threshold,0.8,15.0,800,123,"(1.904646609567605, 0.6742566668444885, 0.7945038788350233)","(1.8957269776622216, 0.7361971796990315, 0.8003148551679679)","(1.9039888681321817, 0.6713419402839941, 0.7939917369336333)",25.81
3,3.639480823741062,0.16465729138677795,0,0.0006070167198302952,[0.00098897],Transformation magnitude below threshold,0.8,15.0,800,116,"(1.978214330690923, 0.760899645187559, 0.9847897712311712)","(1.979255860309954, 0.8360200978402764, 1.0095326015907087)","(1.990209283678848, 0.7790310256256128, 0.9774812352565316)",26.33
2,3.982308980858987,0.9999999996017691,0,0.009743021089024629,[0.00038929],Transformation magnitude below threshold,0.8,15.0,800,113,"(2.0533199342707733, 0.9014135477799902, 1.1177717162849425)","(2.041444340604618, 0.9549553234068949, 1.1169944640115692)","(2.0457147107911293, 0.8792833944410406, 1.1203898702205777)",26.81
2,3.6029647380985534,0.9999999996397035,0,0.007653421582707589,[0.00097849],Transformation magnitude below threshold,0.8,15.0,800,113,"(2.1124001804421044, 1.0337330774598106, 1.1196405271381153)","(2.101343770228785, 1.0779213501951006, 1.1169000289205695)","(2.1096367927507402, 1.017907111254834, 1.1232078094939224)",27.31
1,10000000000,,,0.007831780270328341,[0.00182649],Transformation magnitude below threshold,0.8,15.0,800,114,"(2.175584458765854, 1.1603647407996007, 1.1175504979920534)","(2.1579335732084037, 1.194060219496819, 1.1183687772605317)","(2.1719701696709683, 1.1566480029865647, 1.1193769923238523)",27.82
3,3.084972639911644,0.19024395770878122,0,0.006454999648584456,[0.00116251],Transformation magnitude below threshold,0.8,15.0,800,114,"(2.20549663996836, 1.2540997721086684, 1.3170038583962553)","(2.204169613846015, 1.3252997215620343, 1.3282469481548809)","(2.2215853538559487, 1.2844808070588647, 1.314177704116382)",28.32
1,10000000000,,,0.006238976302056437,[0.00228186],Transformation magnitude below threshold,0.8,15.0,800,114,"(2.2415414784703485, 1.3864605138482864, 1.3204226724870043)","(2.23515290868273, 1.4506347008703866, 1.3280294308755203)","(2.238462079116312, 1.3814881805497035, 1.318140816354342)",28.81
1,10000000000,,,0.007595134043489051,[0.00126831],Transformation magnitude below threshold,0.8,15.0,800,115,"(2.281847499872837, 1.5298528419158557, 1.3260746148162292)","(2.2679986225835367, 1.5833997063446574, 1.3278131020046815)","(2.276555268885907, 1.5246331492652867, 1.324806304907364)",29.31
2,2.645228008648707,0.9999999997354773,0,0.005698610215491341,[0.00031388],Transformation magnitude below threshold,0.8,15.0,800,116,"(2.3144796685466633, 1.6730406608065034, 1.32702696407167)","(2.2999542930356007, 1.7124287344610596, 1.3275948364704218)","(2.3137029465070795, 1.658044038182383, 1.3283862014491632)",29.83
4,2.9101670832556326,0.25735307444718375,0,0.004250893155103393,[0.00193258],Transformation magnitude below threshold,0.8,15.0,800,116,"(2.345947580848977, 1.8170876075775577, 1.3275690432629708)","(2.3310172649884424, 1.8377235049603344, 1.327378575215109)","(2.343518773549984, 1.7942520903146784, 1.3442814348581065)",30.35
1,10000000000,,,0.004648998431156015,[0.00015184],Transformation magnitude below threshold,0.8,15.0,800,116,"(2.3825373473253624, 1.9544885030379204, 1.3243511168670088)","(2.363949218379431, 1.97046813413201, 1.3271677849993395)","(2.3812939870381915, 1.9585131995365894, 1.3241992756166994)",30.82
4,3.662068747292489,0.15612595648889016,0,0.005104912264048947,[0.00129388],Transformation magnitude below threshold,0.8,15.0,800,117,"(2.389128971135792, 2.037326834201823, 1.3146951199177856)","(2.395987411458449, 2.0994781115818957, 1.3269547674559055)","(2.4153861935512775, 2.078443432696682, 1.299138167601976)",31.34
1,10000000000,,,0.008504701088427512,[0.00218561],Transformation magnitude below threshold,0.8,15.0,800,117,"(2.4231795315976905, 2.1576653028547432, 1.3173010026630991)","(2.428053411940968, 2.2284803885285442, 1.3267379157975432)","(2.4201455941041936, 2.155879845985072, 1.3151153919823546)",31.82
2,3.3391404697146956,0.999999999666086,0,0.004843242552385006,[0.00058216],Transformation magnitude below threshold,0.8,15.0,800,123,"(2.4658421457049102, 2.299735378661665, 1.3186873044441438)","(2.4601476887150984, 2.3574751971642693, 1.326520336745107)","(2.4600438361354646, 2.299034360422275, 1.3141200009842837)",32.33
2,4.464087924362409,0.9999999995535912,0,0.004892878653665551,[0.00207471],Transformation magnitude below threshold,0.8,15.0,800,129,"(2.4966580603211463, 2.42835207901513, 1.3152396359677228)","(2.492269991710848, 2.486463662217245, 1.3263059594125077)","(2.4988042279833205, 2.4251976705583744, 1.3090676960094898)",32.82
4,4.372240199576832,0.13308800063709983,0,0.004890752178262016,[0.00224705],Transformation magnitude below threshold,0.8,15.0,800,131,"(2.5327347924417594, 2.557424784778753, 1.316866427243599)","(2.5234938536089184, 2.611719443976642, 1.3260935548839308)","(2.5294967133589426, 2.550090679179754, 1.299400525107142)",33.35
1,10000000000,,,0.007944761566200557,[0.00265529],Transformation magnitude below threshold,0.8,15.0,800,131,"(2.566707754545913, 2.6982520566909978, 1.3201500559360053)","(2.5565959856279084, 2.744421903825381, 1.3258822196948232)","(2.5691197140525683, 2.697800350071348, 1.3174947624756301)",33.82
